97034,"4-methyl-N-[5-(2-methylpropyl)-1,3,4-thiadiazol-2-yl]benzenesulfonamide","4-methyl-N-[5-(2-methylpropyl)-1,3,4-thiadiazol-2-yl]benzenesulfonamide","InChI=1S/C13H17N3O2S2/c1-9(2)8-12-14-15-13(19-12)16-20(17,18)11-6-4-10(3)5-7-11/h4-7,9H,8H2,1-3H3,(H,15,16)",PCAGBWNSEHFSDS-UHFFFAOYSA-N,CC1=CC=C(C=C1)S(=O)(=O)NC2=NN=C(S2)CC(C)C,CC1=CC=C(C=C1)S(=O)(=O)NC2=NN=C(S2)CC(C)C
440809,"[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] 3-(2-hydroxyphenyl)prop-2-enoate","3-(2-hydroxyphenyl)-2-propenoic acid [(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)-2-oxanyl] ester","InChI=1S/C15H18O8/c16-7-10-12(19)13(20)14(21)15(22-10)23-11(18)6-5-8-3-1-2-4-9(8)17/h1-6,10,12-17,19-21H,7H2/t10-,12-,13+,14-,15+/m1/s1",KDNJTHIKZATBIB-LFHLZQBKSA-N,C1=CC=C(C(=C1)C=CC(=O)OC2C(C(C(C(O2)CO)O)O)O)O,C1=CC=C(C(=C1)C=CC(=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O
110077,"2-amino-3,6-dichloro-4-methylbenzenesulfonic acid","2-amino-3,6-dichloro-4-methylbenzenesulfonic acid","InChI=1S/C7H7Cl2NO3S/c1-3-2-4(8)7(14(11,12)13)6(10)5(3)9/h2H,10H2,1H3,(H,11,12,13)",MLEABORKMIGILK-UHFFFAOYSA-N,CC1=CC(=C(C(=C1Cl)N)S(=O)(=O)O)Cl,CC1=CC(=C(C(=C1Cl)N)S(=O)(=O)O)Cl
416543,2-[[bis(2-hydroxyethyl)amino]methyl]-4-(2-methylbutan-2-yl)phenol,2-[[bis(2-hydroxyethyl)amino]methyl]-4-(2-methylbutan-2-yl)phenol,"InChI=1S/C16H27NO3/c1-4-16(2,3)14-5-6-15(20)13(11-14)12-17(7-9-18)8-10-19/h5-6,11,18-20H,4,7-10,12H2,1-3H3",GCNCJCNOXNKNHR-UHFFFAOYSA-N,CCC(C)(C)C1=CC(=C(C=C1)O)CN(CCO)CCO,CCC(C)(C)C1=CC(=C(C=C1)O)CN(CCO)CCO
403326,S-[2-[[(2R)-1-amino-1-oxopropan-2-yl]carbamoyl]phenyl] N-(2-pyridin-1-ium-1-ylethyl)carbamothioate;bromide,N-[2-(1-pyridin-1-iumyl)ethyl]carbamothioic acid S-[2-[[[(2R)-1-amino-1-oxopropan-2-yl]amino]-oxomethyl]phenyl] ester;bromide,"InChI=1S/C18H20N4O3S.BrH/c1-13(16(19)23)21-17(24)14-7-3-4-8-15(14)26-18(25)20-9-12-22-10-5-2-6-11-22;/h2-8,10-11,13H,9,12H2,1H3,(H3-,19,20,21,23,24,25);1H/t13-;/m1./s1",NUWIXXDPUGNZSI-BTQNPOSSSA-N,CC(C(=O)N)NC(=O)C1=CC=CC=C1SC(=O)NCC[N+]2=CC=CC=C2.[Br-],C[C@H](C(=O)N)NC(=O)C1=CC=CC=C1SC(=O)NCC[N+]2=CC=CC=C2.[Br-]
2812,1-[(2-chlorophenyl)-diphenylmethyl]imidazole,1-[(2-chlorophenyl)-diphenylmethyl]imidazole,"InChI=1S/C22H17ClN2/c23-21-14-8-7-13-20(21)22(25-16-15-24-17-25,18-9-3-1-4-10-18)19-11-5-2-6-12-19/h1-17H",VNFPBHJOKIVQEB-UHFFFAOYSA-N,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4
8650,(2S)-2-(methylamino)-1-phenylpropan-1-ol,(2S)-2-(methylamino)-1-phenyl-1-propanol,"InChI=1S/C10H15NO/c1-8(11-2)10(12)9-6-4-3-5-7-9/h3-8,10-12H,1-2H3/t8-,10?/m0/s1",KWGRBVOPPLSCSI-PEHGTWAWSA-N,CC(C(C1=CC=CC=C1)O)NC,C[C@@H](C(C1=CC=CC=C1)O)NC
106941,3-phenylprop-2-enyl 2-methylbutanoate,2-methylbutanoic acid 3-phenylprop-2-enyl ester,"InChI=1S/C14H18O2/c1-3-12(2)14(15)16-11-7-10-13-8-5-4-6-9-13/h4-10,12H,3,11H2,1-2H3",OQFRRXKRZQFDEI-UHFFFAOYSA-N,CCC(C)C(=O)OCC=CC1=CC=CC=C1,CCC(C)C(=O)OCC=CC1=CC=CC=C1
499408,N-phenyl-1-pyridin-2-ylmethanimine,N-phenyl-1-(2-pyridinyl)methanimine,InChI=1S/C12H10N2/c1-2-6-11(7-3-1)14-10-12-8-4-5-9-13-12/h1-10H,CSGRSRYPHUABSU-UHFFFAOYSA-N,C1=CC=C(C=C1)N=CC2=CC=CC=N2,C1=CC=C(C=C1)N=CC2=CC=CC=N2
244843,"2-(hydroxymethyl)-6-[2,3,4-trihydroxy-4-(2-phenyltriazol-4-yl)butoxy]oxane-3,4,5-triol","2-(hydroxymethyl)-6-[2,3,4-trihydroxy-4-(2-phenyl-4-triazolyl)butoxy]oxane-3,4,5-triol","InChI=1S/C18H25N3O9/c22-7-12-15(26)16(27)17(28)18(30-12)29-8-11(23)14(25)13(24)10-6-19-21(20-10)9-4-2-1-3-5-9/h1-6,11-18,22-28H,7-8H2",CDDZNFXWZUILJU-UHFFFAOYSA-N,C1=CC=C(C=C1)N2N=CC(=N2)C(C(C(COC3C(C(C(C(O3)CO)O)O)O)O)O)O,C1=CC=C(C=C1)N2N=CC(=N2)C(C(C(COC3C(C(C(C(O3)CO)O)O)O)O)O)O
